Iteration,     Velocity residue      Pressure residue
      0        1.0000000             1.0000000
      1        0.7614000             1.0000000
      2        0.6071909             340108513.0627011
      3        0.5011443             340108515.0627011
      4        0.4246172             1.0000000
      5        0.3672865             340108515.0627011
      6        0.3230450             765244157.6410774
      7        0.2886085             85027127.5156753
      8        0.2618323             170054258.0313506
      9        0.2401706             85027129.5156753
     10        0.2221752             1.0000000
     11        0.2069357             340108515.0627011
     12        0.1938370             255081386.5470258
     13        0.1824417             510162772.0940517
     14        0.1724262             1.0000000
     15        0.1635446             170054256.0313506
     16        0.1556073             595189900.6097270
     17        0.1484660             340108513.0627011
     18        0.1420034             425135641.5783764
     19        0.1361258             850271284.1567527
     20        0.1307571             552676334.3518893
     21        0.1258344             127540691.7735129
     22        0.1213053             467649207.8362140
     23        0.1171251             255081384.5470258
     24        0.1132552             170054258.0313506
     25        0.1096631             382622079.3205387
     26        0.1063208             467649205.8362140
     27        0.1032037             212567822.2891882
     28        0.1002906             42513563.2578376
     29        0.0975624             382622079.3205387
     30        0.0950027             170054256.0313506
     31        0.0925966             42513565.2578376
     32        0.0903313             127540693.7735129
     33        0.0881949             467649205.8362140
     34        0.0861769             170054258.0313506
     35        0.0842679             340108513.0627011
     36        0.0824594             595189898.6097270
     37        0.0807440             850271284.1567527
     38        0.0791148             85027127.5156753
     39        0.0775654             382622077.3205387
     40        0.0760904             170054256.0313506
     41        0.0746861             297594948.8048635
     42        0.0733485             467649205.8362140
     43        0.0720733             42513565.2578376
     44        0.0708564             1190379800.2194541
     45        0.0696940             297594950.8048635
     46        0.0685827             595189900.6097270
     47        0.0675191             977811978.9302657
     48        0.0665005             297594950.8048635
     49        0.0655242             1.0000000
     50        0.0645877             127540693.7735129
     51        0.0636887             1062839105.4459409
     52        0.0628247             297594948.8048635
     53        0.0619936             318851732.9337823
     54        0.0611937             1509231530.1532362
     55        0.0604232             1721799353.4424245
     56        0.0596806             191311040.1602693
     57        0.0589644             63770345.3867564
     58        0.0582731             1147866233.9616163
     59        0.0576053             637703464.8675646
     60        0.0569600             170054258.0313506
     61        0.0563359             382622077.3205387
     62        0.0557322             552676336.3518893
     63        0.0551479             382622079.3205387
     64        0.0545819             127540691.7735129
     65        0.0540334             127540691.7735129
     66        0.0535018             255081384.5470258
     67        0.0529862             658960246.9964833
     68        0.0524861             212567822.2891882
     69        0.0520006             1169123016.0905352
     70        0.0515290             340108515.0627011
     71        0.0510709             340108513.0627011
     72        0.0506257             425135641.5783764
     73        0.0501929             340108515.0627011
     74        0.0497718             531419554.2229704
     75        0.0493621             1254150146.6062102
     76        0.0489632             488905987.9651328
     77        0.0485748             148797473.9024318
     78        0.0481965             340108515.0627011
     79        0.0478278             361365297.1916199
     80        0.0474684             616446680.7386457
     81        0.0471179             1190379800.2194541
     82        0.0467760             637703464.8675646
     83        0.0464425             871528068.2856717
     84        0.0461170             255081384.5470258
